AÑO,FACTURA,ARTICULO,PIEZA,RANGO,DESCRIPCION ,DESCRIPCION MX,COMPOSICION,COMP. FORRO,TARIC,MX HS CODE,SUBDIVI,CANTIDAD,PRECIO UN.,IMPORTE TOT,,MONEDA,ORIGEN,PESO NETO,PESO BRUTO,FACERR,SECCION ,MARCA,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,TK1,TK2,TK3,TK4,TK5,TK6,TK7,TK8,TK9,TK10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,PUNTO / PLANA,SEXO,UMC,UMT,,,,,,,,,,,
2020,32191,41,0,NIÑOL     ,Pantalón                      ,PANTALON LARGO PARA NIÑO                                                                            , 98% ALGODÓN 2% elastano                                              ,                                                                      ,6203423500,62034292,  ,28,6.8,190.4,USD.,BD,6.888,8.786, ,Mini Niño           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,2,4,4,4,4,4,3,3,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,43,0,NIÑO      ,Suéter                        ,CHAMARRA PARA NIÑO                                                                                  , 59% ALGODÓN 40% poliéster 1% elastano                                ,                                                                      ,6110209100,61012099,  ,10,4.68,46.8,USD.,CN,2.37,3.023,S,Mini Niño           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,0,2,2,2,2,0,2,0,0,0,Punto,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,43,2,NIÑOL     ,Pantalón                      ,PANTALON LARGO PARA NIÑO                                                                            , 64% poliéster 35% ALGODÓN 1% elastano                                ,                                                                      ,6103430000,61034304,  ,5,4.54,22.7,USD.,CN,1.15,1.467,S,Mini Niño           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,0,1,1,1,1,0,1,0,0,0,Punto,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,43,3,NIÑOL     ,Pantalón                      ,PANTALON LARGO PARA NIÑO                                                                            , 59% ALGODÓN 40% poliéster 1% elastano                                ,                                                                      ,6103420000,61034204,  ,5,4.53,22.65,USD.,CN,1.15,1.467,S,Mini Niño           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,0,1,1,1,1,0,1,0,0,0,Punto,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,43,2,NIÑOL     ,Pantalón                      ,PANTALON LARGO PARA NIÑO                                                                            , 59% ALGODÓN 40% poliéster 1% elastano                                ,                                                                      ,6103430000,61034204,  ,5,4.54,22.7,USD.,CN,1.15,1.467,S,Mini Niño           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,0,1,1,1,1,0,1,0,0,0,Punto,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,43,3,NIÑOL     ,Pantalón                      ,PANTALON LARGO PARA NIÑO                                                                            , 64% poliéster 35% ALGODÓN 1% elastano                                ,                                                                      ,6103420000,61034304,  ,5,4.53,22.65,USD.,CN,1.15,1.467,S,Mini Niño           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,0,1,1,1,1,0,1,0,0,0,Punto,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,50,0,HOMBREL   ,Pantalón                      ,PANTALON LARGO DE MEZCLILLA PARA HOMBRE                                                             , 87% ALGODÓN 11% poliéster 2% elastano                                ,                                                                      ,6203423100,62034294,  ,14,9,126,USD.,BD,5.852,7.464, ,Niño                ,NUKUTAVAKE  ,8,10,12,14,16,18,      ,      ,      ,      ,128,140,152,160,166,172,0,0,0,0,0,0,0,5,5,4,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,50,0,NIÑOL     ,Pantalón                      ,PANTALON LARGO DE MEZCLILLA PARA NIÑO                                                               , 87% ALGODÓN 11% poliéster 2% elastano                                ,                                                                      ,6203423100,62034295,  ,10,9,90,USD.,BD,4.18,5.332, ,Niño                ,NUKUTAVAKE  ,8,10,12,14,16,18,      ,      ,      ,      ,128,140,152,160,166,172,0,0,0,0,1,4,5,0,0,0,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,104,0,BEBE      ,Camisa                        ,CAMISA PARA BEBE                                                                                    , 95% ALGODÓN 5% elastano                                              ,                                                                      ,6111209000,61112008,  ,1,5.1,5.1,USD.,TR,0.094,0.12, ,Baby Niña           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,104,0,NIÑA      ,Camisa                        ,CAMISA TIPO POLO PARA NIÑA                                                                          , 95% ALGODÓN 5% elastano                                              ,                                                                      ,6106100000,61061004,  ,1,5.1,5.1,USD.,TR,0.094,0.12, ,Baby Niña           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,108,0,BEBE      ,Camiseta                      ,CAMISA (T-SHIRT CON BROCHE Y ABERTURA) PARA BEBE                                                    , 100% ALGODÓN                                                         ,                                                                      ,6111209000,61112008,  ,12,3.1,37.2,USD.,BD,1.056,1.347, ,Baby Niño           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,0,6,6,0,0,0,0,0,0,Punto,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,108,0,NIÑO      ,Camiseta                      ,CAMISA (T-SHIRT DE ALGODON PERCHADO) PARA NIÑO                                                      , 100% ALGODÓN                                                         ,                                                                      ,6105100000,61051099,  ,12,3.1,37.2,USD.,BD,1.056,1.347, ,Baby Niño           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,0,0,0,6,6,0,0,0,0,Punto,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,113,0,BEBE      ,Camisa                        ,CAMISA PARA BEBE                                                                                    , 100% ALGODÓN                                                         ,                                                                      ,6209200090,62092005,  ,5,5.5,27.5,USD.,BD,0.58,0.74, ,Baby Niño           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,1,2,2,0,0,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,113,0,NIÑO      ,Camisa                        ,CAMISA PARA NIÑO                                                                                    , 100% ALGODÓN                                                         ,                                                                      ,6205200090,62052092,  ,4,5.5,22,USD.,BD,0.464,0.592, ,Baby Niño           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,0,0,0,2,2,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,116,0,BEBE      ,Camiseta                      ,BLUSA PARA BEBE                                                                                     , 95% ALGODÓN 5% elastano                                              ,                                                                      ,6111209000,61112008,  ,12,3.8,45.6,USD.,IN,1.092,1.393, ,Baby Niña           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,1,1,5,5,0,0,0,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,116,0,NIÑA      ,Camiseta                      ,BLUSA PARA NIÑA                                                                                     , 95% ALGODÓN 5% elastano                                              ,                                                                      ,6106100000,61061092,  ,10,3.8,38,USD.,IN,0.91,1.161, ,Baby Niña           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,0,0,0,5,5,0,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,136,0,NIÑA      ,Camiseta                      ,PULLOVER PARA NIÑA                                                                                  , 95% viscosa 5% elastano                                              ,                                                                      ,6110301000,61103099,  ,43,4.65,199.95,USD.,IN,6.708,8.556, ,Mini Niña           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,3,3,7,5,6,5,6,8,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,173,0,NIÑO      ,Camiseta                      ,CAMISA (T-SHIRT DE ALGODON PERCHADO) PARA NIÑO                                                      , 100% ALGODÓN                                                         ,                                                                      ,6109100090,61051099,  ,81,3.25,263.25,USD.,BD,8.991,11.468, ,Mini Niño           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,4,8,15,14,12,7,12,9,0,0,Punto,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,178,0,NIÑA      ,Camiseta                      ,PULLOVER (T-SHIRT DE ALGODON PERCHADO) PARA NIÑA                                                    , 95% ALGODÓN 5% elastano                                              ,                                                                      ,6109100090,61102091,  ,15,4.1,61.5,USD.,BD,1.785,2.277, ,Mini Niña           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,1,2,2,2,2,2,2,2,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,307,0,BEBE      ,Suéter                        ,CARDIGAN PARA BEBE                                                                                  , 100% ALGODÓN                                                         ,                                                                      ,6111209000,61112092,  ,4,6.1,24.4,USD.,BD,0.26,0.332, ,Canastilla Niña     ,NEWBORN     , 0-1  , 1-2  , 2-4  , 4-6  , 6-9  , 12M  , 18M  ,      ,      ,      ,55,60,65,70,75,80,86,0,0,0,0,0,1,1,1,1,0,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,308,0,BEBE      ,Suéter                        ,CARDIGAN PARA BEBE                                                                                  , 80% ALGODÓN 17% poliamida 3% elastano                                ,                                                                      ,6111209000,61112092,  ,3,5.8,17.4,USD.,BD,0.243,0.31, ,Baby Niña           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,308,0,NIÑA      ,Suéter                        ,CARDIGAN PARA NIÑA                                                                                  , 80% ALGODÓN 17% poliamida 3% elastano                                ,                                                                      ,6110209900,61102099,  ,2,5.8,11.6,USD.,BD,0.162,0.207, ,Baby Niña           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,313,0,NIÑA      ,Cisne tricot                  ,SUETER PARA NIÑA                                                                                    , 80% ALGODÓN 17% poliamida 3% elastano                                ,                                                                      ,6110201000,61102091,  ,10,6.1,61,USD.,KH,1.34,1.709, ,Mini Niña           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,2,0,2,0,3,0,3,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,323,0,NIÑO      ,Suéter                        ,SUETER PARA NIÑO                                                                                    , 82% ALGODÓN 18% poliamida                                            ,                                                                      ,6110209100,61102091,  ,10,6.7,67,USD.,BD,1.24,1.582, ,Mini Niño           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,1,1,1,2,1,1,2,1,0,0,Punto,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,327,0,NIÑO      ,Suéter                        ,CARDIGAN PARA NIÑO                                                                                  , 60% ALGODÓN 30% poliamida 10% LANA                                   ,                                                                      ,6110209100,61102099,  ,2,7.9,15.8,USD.,BD,0.364,0.464, ,Mini Niño           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,0,0,1,1,0,0,0,0,0,0,Punto,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,345,0,MUJER     ,Cisne tricot                  ,SUETER PARA MUJER                                                                                   , 80% ALGODÓN 17% poliamida 3% elastano                                ,                                                                      ,6110201000,61102002,  ,9,6.75,60.75,USD.,KH,1.998,2.548, ,Niña                ,MAYORAL     ,8,10,12,14,16,18,      ,      ,      ,      ,128,140,152,157,162,167,0,0,0,0,0,0,0,0,0,9,0,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,345,0,NIÑA      ,Cisne tricot                  ,SUETER PARA NIÑA                                                                                    , 80% ALGODÓN 17% poliamida 3% elastano                                ,                                                                      ,6110201000,61102091,  ,24,6.75,162,USD.,KH,5.328,6.796, ,Niña                ,MAYORAL     ,8,10,12,14,16,18,      ,      ,      ,      ,128,140,152,157,162,167,0,0,0,0,0,4,7,7,6,0,0,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,350,0,NIÑO      ,Suéter                        ,SUETER PARA NIÑO                                                                                    , 60% ALGODÓN 30% poliamida 10% LANA                                   ,                                                                      ,6110209100,61102091,  ,1,8.9,8.9,USD.,BD,0.253,0.323, ,Niño                ,NUKUTAVAKE  ,8,10,12,14,16,18,      ,      ,      ,      ,128,140,152,160,166,172,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Punto,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,412,0,HOMBRE    ,Chaqueta                      ,CHAQUETON PARA HOMBRE                                                                               , 100% poliamida                                                       , 100% poliéster                                                       ,6201131090,62011391,  ,3,12.9,38.7,USD.,MM,1.41,1.798, ,Mini Niño           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,0,0,0,0,0,0,0,3,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,412,0,NIÑO      ,Chaqueta                      ,CHAQUETON PARA NIÑO                                                                                 , 100% poliamida                                                       , 100% poliéster                                                       ,6201131090,62011392,  ,10,12.9,129,USD.,MM,4.7,5.995, ,Mini Niño           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,0,1,2,1,2,2,2,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,415,0,NIÑA      ,Chaqueta                      ,PRENDAS DE VESTIR DE PELETERIA ARTIFICIAL (CHAQUETON)                                               , 100% poliéster                                                       , 100% poliéster                                                       ,6202131090,43040001,  ,93,13.75,1,278.75,USD.,MM,47.151,60.142, ,Mini Niña           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,10,5,19,4,20,4,20,11,0,0,Plana,NIÑA ,6,1,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,416,0,MUJER     ,Chaqueta                      ,CHAMARRA PARA MUJER                                                                                 , 100% poliéster                                                       , 100% poliéster                                                       ,6202131090,62029391,  ,47,15.15,712.05,USD.,MM,30.55,38.967, ,Niña                ,MAYORAL     ,8,10,12,14,16,18,      ,      ,      ,      ,128,140,152,157,162,167,0,0,0,0,0,6,10,11,10,10,0,0,0,0,Plana,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,416,0,NIÑA      ,Chaqueta                      ,PRENDAS DE VESTIR DE PELETERIA ARTIFICIAL (CHAQUETON)                                               , 100% poliéster                                                       , 100% poliéster                                                       ,6202131090,43040001,  ,1,15.15,15.15,USD.,MM,0.65,0.829, ,Niña                ,MAYORAL     ,8,10,12,14,16,18,      ,      ,      ,      ,128,140,152,157,162,167,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Plana,NIÑA ,6,1,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,502,0,BEBE      ,Pantalón                      ,PANTALONES LARGOS PARA BEBE                                                                         , 98% ALGODÓN 2% elastano                                              ,                                                                      ,6209200090,62092014,  ,2,6.3,12.6,USD.,BD,0.392,0.5, ,Baby Niño           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,502,0,NIÑOL     ,Pantalón                      ,PANTALON LARGO PARA NIÑO                                                                            , 98% ALGODÓN 2% elastano                                              ,                                                                      ,6203423500,62034292,  ,2,6.3,12.6,USD.,BD,0.392,0.5, ,Baby Niño           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,504,0,NIÑOL     ,Pantalón                      ,PANTALON LARGO DE MEZCLILLA PARA NIÑO                                                               , 97% ALGODÓN 3% elastano                                              ,                                                                      ,6203423100,62034295,  ,20,8.4,168,USD.,BD,5.26,6.709, ,Mini Niño           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,1,3,2,3,4,2,3,2,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,510,0,BEBE      ,Pantalón                      ,PANTALONES LARGOS PARA BEBE                                                                         , 97% ALGODÓN 3% poliéster                                             ,                                                                      ,6209200090,62092014,  ,54,7.15,386.1,USD.,BD,9.882,12.605, ,Baby Niño           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,8,9,17,20,0,0,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,510,0,NIÑOL     ,Pantalón                      ,PANTALON LARGO DE MEZCLILLA PARA NIÑO                                                               , 97% ALGODÓN 3% poliéster                                             ,                                                                      ,6203423500,62034295,  ,29,7.15,207.35,USD.,BD,5.307,6.769, ,Baby Niño           ,MAYORAL     ,6,9,12,18,24,36,      ,      ,      ,      ,68,74,80,86,92,98,0,0,0,0,0,0,0,0,18,11,0,0,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,511,0,NIÑAL     ,Pantalón                      ,PANTALON LARGO PARA NIÑA                                                                            , 96% ALGODÓN 4% elastano                                              ,                                                                      ,6104620000,61046292,  ,4,7.35,29.4,USD.,CN,0.752,0.959, ,Mini Niña           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,1,0,1,0,1,0,1,0,0,0,Punto,NIÑA ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
2020,32191,513,0,NIÑOL     ,Pantalón                      ,PANTALON LARGO PARA NIÑO                                                                            , 98% ALGODÓN 2% elastano                                              ,                                                                      ,6203423500,62034292,  ,15,7.15,107.25,USD.,BD,3.84,4.898, ,Mini Niño           ,MAYORAL     ,2,3,4,5,6,7,8,9,      ,      ,92,98,104,110,116,122,128,134,0,0,0,2,2,2,2,3,2,2,0,0,Plana,NIÑO ,6,6,0,0,                              ,                              ,0,0,0,0,0,0,0
